,Date,Résidus
0,2012-05-01,-6745.720327046562
1,2012-05-02,598.546572888481
2,2012-05-03,290.5362587611089
3,2012-05-04,716.729569217583
4,2012-05-05,1235.9701994153365
5,2012-05-06,1452.6999971766563
6,2012-05-07,-2307.7398516970497
7,2012-05-08,-6746.677102060188
8,2012-05-09,1025.9081129101833
9,2012-05-10,-55.94003465378046
10,2012-05-11,669.3145289312379
11,2012-05-12,111.61237911070202
12,2012-05-13,160.53357205448265
13,2012-05-14,207.59818985188758
14,2012-05-15,1786.697102934042
15,2012-05-16,2904.1072611633062
16,2012-05-17,-3094.8331971852167
17,2012-05-18,-498.25921603957977
18,2012-05-19,1274.1316330376067
19,2012-05-20,1976.3117209300253
20,2012-05-21,5732.221251596886
21,2012-05-22,4898.196143676694
22,2012-05-23,2418.9802356712025
23,2012-05-24,1198.397126675627
24,2012-05-25,1240.8124793138777
25,2012-05-26,-41.95908496472839
26,2012-05-27,-1343.42508148677
27,2012-05-28,-7908.121016565179
28,2012-05-29,-188.1863020022065
29,2012-05-30,417.64413104036066
30,2012-05-31,295.7078593065089
31,2012-06-01,746.8734910474013
32,2012-06-02,-28.55615555251279
33,2012-06-03,-1742.618774472845
34,2012-06-04,-530.4019349076116
35,2012-06-05,-433.6223605047562
36,2012-06-06,79.3792615448765
37,2012-06-07,157.30330626354407
38,2012-06-08,-320.65305052528856
39,2012-06-09,-1261.8952010778303
40,2012-06-10,-1781.2081179533634
41,2012-06-11,-568.4677324179938
42,2012-06-12,-570.2219386887009
43,2012-06-13,-194.68682423563587
44,2012-06-14,-1542.0827502413304
45,2012-06-15,-872.1793953450469
46,2012-06-16,-1145.3955764778075
47,2012-06-17,-2206.5763786071548
48,2012-06-18,-1394.7043146482974
49,2012-06-19,-1460.4797761071459
50,2012-06-20,-1263.3163780625764
51,2012-06-21,-906.6758284358584
52,2012-06-22,-1727.6114429439913
53,2012-06-23,-2778.8661301713946
54,2012-06-24,-2709.6473914915696
55,2012-06-25,-1534.336072197293
56,2012-06-26,-604.0641415876453
57,2012-06-27,-296.7071247553249
58,2012-06-28,374.78416302659025
59,2012-06-29,-589.1565646897143
60,2012-06-30,-1609.8055416693023
61,2012-07-01,-3177.9202904396298
62,2012-07-02,-2065.4445919502105
63,2012-07-03,-1609.082388682109
64,2012-07-04,-686.2862721690981
65,2012-07-05,-882.585234571321
66,2012-07-06,-1236.1208573611293
67,2012-07-07,-1839.7378148092466
68,2012-07-08,-2559.7512914532563
69,2012-07-09,-903.6481051521041
70,2012-07-10,-670.6568691063221
71,2012-07-11,-773.7328711937589
72,2012-07-12,-593.8823766888381
73,2012-07-13,464.3044473031114
74,2012-07-14,-1664.433915918853
75,2012-07-15,-1549.7949253327824
76,2012-07-16,-513.6105321120776
77,2012-07-17,-111.41503903144621
78,2012-07-18,933.5720354024525
79,2012-07-19,769.1233672519666
80,2012-07-20,911.4723009959635
81,2012-07-21,-519.7735249286343
82,2012-07-22,-140.3960303206768
83,2012-07-23,191.7351591465922
84,2012-07-24,1031.0949136969284
85,2012-07-25,2008.5194550200977
86,2012-07-26,3007.8831469414363
87,2012-07-27,2311.566014963304
88,2012-07-28,372.3660899577153
89,2012-07-29,-205.26604386258987
90,2012-07-30,-1149.9273024909999
91,2012-07-31,-963.8320981554571
92,2012-08-01,-633.797957093142
93,2012-08-02,-816.5714593742814
94,2012-08-03,-967.3636866986999
95,2012-08-04,-498.941060817946
96,2012-08-05,-1391.394168787716
97,2012-08-06,-4015.841355753073
98,2012-08-07,-4470.0023998947145
99,2012-08-08,-4102.187921418852
100,2012-08-09,-2986.629197666305
101,2012-08-10,-2129.01754140095
102,2012-08-11,-859.5990956432288
103,2012-08-12,-752.9476117606755
104,2012-08-13,-3281.671962036249
105,2012-08-14,-3307.993672092103
106,2012-08-15,-8951.740096247377
107,2012-08-16,-3922.677879743329
108,2012-08-17,-1853.0558376231274
109,2012-08-18,212.2969225671768
110,2012-08-19,883.195092476366
111,2012-08-20,449.3867413010812
112,2012-08-21,1044.9731172653119
113,2012-08-22,-492.58693079616205
114,2012-08-23,-467.812537570062
115,2012-08-24,-152.74552486536413
116,2012-08-25,-269.05003801334533
117,2012-08-26,-1596.7896453159556
118,2012-08-27,-589.1386191460115
119,2012-08-28,41.03734444981092
120,2012-08-29,652.1853687864859
121,2012-08-30,375.7299780126341
122,2012-08-31,-447.47109767907386
123,2012-09-01,-1219.2257099356502
124,2012-09-02,-1655.783209507259
125,2012-09-03,-61.544220022864465
126,2012-09-04,-29.63953608932934
127,2012-09-05,185.07624211293296
128,2012-09-06,-178.30830203637743
129,2012-09-07,156.6970788514518
130,2012-09-08,-575.111568628512
131,2012-09-09,-2228.4051666199957
132,2012-09-10,-392.02802754686854
133,2012-09-11,330.42677807150903
134,2012-09-12,-300.3725308701469
135,2012-09-13,-1080.8256504025267
136,2012-09-14,-1011.9378084531054
137,2012-09-15,-1865.4116601454298
138,2012-09-16,-3222.416048994106
139,2012-09-17,-1759.2884144532873
140,2012-09-18,-1447.1061686076791
141,2012-09-19,-1684.6727104031597
142,2012-09-20,-1189.8427742491403
143,2012-09-21,-417.05630287764507
144,2012-09-22,-493.4267384846389
145,2012-09-23,-1484.5063470685345
146,2012-09-24,-909.9853825850878
147,2012-09-25,-201.26043848858535
148,2012-09-26,788.5823217278376
149,2012-09-27,209.44433668364945
150,2012-09-28,-492.31698750792566
151,2012-09-29,-373.9746301849518
152,2012-09-30,-749.1956576740413
153,2012-10-01,138.2609069056125
154,2012-10-02,-327.0233126585954
155,2012-10-03,289.8913317346014
156,2012-10-04,53.97993966623471
157,2012-10-05,-633.2786733936882
158,2012-10-06,-1290.98878642841
159,2012-10-07,-493.6022860509547
